chr mid sweep_loess
141 1 1025255.9043 38.873611657932
142 1 1032568.7036 39.1474136418109
143 1 1039881.5029 39.4192608378055
144 1 1047194.3022 39.6891668195706
145 1 1054507.1016 39.9571451607607
146 1 1061819.9009 40.2232094350305
147 1 1069132.7002 40.4873732160344
148 1 1076445.4995 40.7496500774273
149 1 1083758.2988 41.0100535928635
150 1 1091071.0981 41.2685973359979
151 1 1098383.8975 41.5252948804848
152 1 1105696.6968 41.780159799979
153 1 1113009.4961 42.033205668135
154 1 1120322.2954 42.2844460586075
155 1 1127635.0947 42.533894545051
156 1 1134947.894 42.7815647011202
157 1 1142260.6934 43.0274701004696
158 1 1149573.4927 43.2716243167539
159 1 1156886.292 43.5140409236276
160 1 1164199.0913 43.7547334947454
161 1 1171511.8906 43.9937156037618
162 1 1178824.6899 44.2310008243315
163 1 1186137.4893 44.466602730109
164 1 1193450.2886 44.700534894749
165 1 1200763.0879 44.932810891906
166 1 1208075.8872 45.1634442952347
167 1 1215388.6865 45.3924486783897
168 1 1222701.4858 45.6198376150255
169 1 1230014.2852 45.8456246787968
170 1 1237327.0845 46.0698234433581
171 1 1244639.8838 46.2924474823641
172 1 1251952.6831 46.5135103694694
173 1 1259265.4824 46.7330256783285
174 1 1266578.2817 46.9510069825961
175 1 1273891.0811 47.1674678559268
176 1 1281203.8804 47.3824218719751
177 1 1288516.6797 47.5958826043957
178 1 1295829.479 47.8078636268432
179 1 1303142.2783 48.0183785129722
180 1 1310455.0776 48.2274408364372
181 1 1317767.877 48.4350641708929
182 1 1325080.6763 48.6412620899938
183 1 1332393.4756 48.8460481673947
184 1 1339706.2749 49.04943597675
185 1 1347019.0742 49.2514390917144
186 1 1354331.8735 49.4520710859425
187 1 1361644.6729 49.6513455330889
188 1 1368957.4722 49.8492760068081
189 1 1376270.2715 50.0458760807549
190 1 1383583.0708 50.2411593285837
191 1 1390895.8701 50.4351393239492
192 1 1398208.6694 50.627829640506
193 1 1405521.4688 50.8192438519087
194 1 1412834.2681 51.0093955318118
195 1 1420147.0674 51.1982982538701
196 1 1427459.8667 51.385965591738
197 1 1434772.666 51.5724111190703
198 1 1442085.4653 51.7576484095214
199 1 1449398.2646 51.9416910367461
200 1 1456711.064 52.1245525743988
201 1 1464023.8633 52.3062465961342
202 1 1471336.6626 52.4867866756069
203 1 1478649.4619 52.6661863864715
204 1 1485962.2612 52.8444593023827
205 1 1493275.0605 53.0216189969949
206 1 1500587.8599 53.1976790439628
207 1 1507900.6592 53.372653016941
208 1 1515213.4585 53.5465544895842
209 1 1522526.2578 53.7193970355468
210 1 1529839.0571 53.8911942284835
211 1 1537151.8564 54.061959642049
212 1 1544464.6558 54.2317068498977
213 1 1551777.4551 54.4004494256844
214 1 1559090.2544 54.5682009430636
215 1 1566403.0537 54.7349749756899
216 1 1573715.853 54.9007850972179
217 1 1581028.6523 55.0656448813022
218 1 1588341.4517 55.2295679015974
219 1 1595654.251 55.3925677317582
220 1 1602967.0503 55.5546579454391
221 1 1610279.8496 55.7158521162947
222 1 1617592.6489 55.8761638179796
223 1 1624905.4482 56.0356066241484
224 1 1632218.2476 56.1941941084558
225 1 1639531.0469 56.3519398445563
226 1 1646843.8462 56.5088574061045
227 1 1654156.6455 56.664960366755
228 1 1661469.4448 56.8202623001624
229 1 1668782.2441 56.9747767799814
230 1 1676095.0435 57.1285173798666
231 1 1683407.8428 57.2814976734724
232 1 1690720.6421 57.4337312344536
233 1 1698033.4414 57.5852316364647
234 1 1705346.2407 57.7360124531603
235 1 1712659.04 57.8860872581951
236 1 1719971.8394 58.0354696252236
237 1 1727284.6387 58.1841731279005
238 1 1734597.438 58.3322113398802
239 1 1741910.2373 58.4795978348176
240 1 1749223.0366 58.626346186367
241 1 1756535.8359 58.7724699681832
242 1 1763848.6353 58.9179827539208
243 1 1771161.4346 59.0628981172343
244 1 1778474.2339 59.2072296317783
245 1 1785787.0332 59.3509908712075
246 1 1793099.8325 59.4941954091764
247 1 1800412.6318 59.6368568193397
248 1 1807725.4312 59.7789886753519
249 1 1815038.2305 59.9206045508677
250 1 1822351.0298 60.0617180195417
251 1 1829663.8291 60.2023426550283
252 1 1836976.6284 60.3424920309824
253 1 1844289.4277 60.4821797210584
254 1 1851602.2271 60.6214192989109
255 1 1858915.0264 60.7588384925363
256 1 1866227.8257 60.8930797541794
257 1 1873540.625 61.0241787438682
258 1 1880853.4243 61.1521711216302
259 1 1888166.2236 61.2770925474933
260 1 1895479.0229 61.3989786814853
261 1 1902791.8223 61.5178651836338
262 1 1910104.6216 61.6337877139666
263 1 1917417.4209 61.7467819325115
264 1 1924730.2202 61.8568834992963
265 1 1932043.0195 61.9641280743486
266 1 1939355.8188 62.0685513176962
267 1 1946668.6182 62.1701888893669
268 1 1953981.4175 62.2690764493884
269 1 1961294.2168 62.3652496577885
270 1 1968607.0161 62.458744174595
271 1 1975919.8154 62.5495956598355
272 1 1983232.6147 62.6378397735378
273 1 1990545.4141 62.7235121757298
274 1 1997858.2134 62.806648526439
275 1 2005171.0127 62.8872844856934
276 1 2012483.812 62.9654557135206
277 1 2019796.6113 63.0411978699483
278 1 2027109.4106 63.1145466150044
279 1 2034422.21 63.1855376087166
280 1 2041735.0093 63.2542065111126
281 1 2049047.8086 63.3205889822202
282 1 2056360.6079 63.3847206820672
283 1 2063673.4072 63.4466372706812
284 1 2070986.2065 63.5063744080901
285 1 2078299.0059 63.5639677543215
286 1 2085611.8052 63.6194529694033
287 1 2092924.6045 63.6728657133632
288 1 2100237.4038 63.724241646229
289 1 2107550.2031 63.7736164280283
290 1 2114863.0024 63.821025718789
291 1 2122175.8018 63.8665051785388
292 1 2129488.6011 63.9100904673054
293 1 2136801.4004 63.9518172451166
294 1 2144114.1997 63.9917211720002
295 1 2151426.999 64.0298379079839
296 1 2158739.7983 64.0662031130954
297 1 2166052.5977 64.1008524473625
298 1 2173365.397 64.133821570813
299 1 2180678.1963 64.1651461434746
300 1 2187990.9956 64.194861825375
301 1 2195303.7949 64.223004276542
302 1 2202616.5942 64.2496091570034
303 1 2209929.3936 64.2747121267869
304 1 2217242.1929 64.2983488459203
305 1 2224554.9922 64.3205549744312
306 1 2231867.7915 64.3413661723476
307 1 2239180.5908 64.360818099697
308 1 2246493.3901 64.3789464165073
309 1 2253806.1895 64.3957867828062
310 1 2261118.9888 64.4113748586214
311 1 2268431.7881 64.4257463039808
312 1 2275744.5874 64.438936778912
313 1 2283057.3867 64.4509819434429
314 1 2290370.186 64.4619174576011
315 1 2297682.9854 64.4717789814144
316 1 2304995.7847 64.4806021749106
317 1 2312308.584 64.4884226981175
318 1 2319621.3833 64.4952762110626
319 1 2326934.1826 64.501198373774
